lei;dispositivo;hierarquia;tipo;numero;artigo;paragrafo;inciso;aliena;parte;titulo;capitulo;secao;subsecao;ano
cf;TÍTULO I: Dos Princípios Fundamentais;8;t;I;;;;;;I;;;;
cf;Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:;4;a;1;1;;;;;I;;;;
cf;"I - a soberania;";2;i;I;1;;I;;;I;;;;
cf;II - a cidadania;2;i;II;1;;II;;;I;;;;
cf;"III - a dignidade da pessoa humana;";2;i;III;1;;III;;;I;;;;
cf;"IV - os valores sociais do trabalho e da livre iniciativa;  (Vide Lei nº 13.874, de 2019)";2;i;IV;1;;IV;;;I;;;;
cf;V - o pluralismo político.;2;i;V;1;;V;;;I;;;;
cf;Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.;3;pu;pu;1;;;;;I;;;;
cf;Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.;4;a;2;2;;;;;I;;;;
cf;Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:;4;a;3;3;;;;;I;;;;
cf;"I - construir uma sociedade livre, justa e solidária;";2;i;I;3;;I;;;I;;;;
cf;"II - garantir o desenvolvimento nacional;";2;i;II;3;;II;;;I;;;;
cf;"III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;";2;i;III;3;;III;;;I;;;;
cf;IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.;2;i;IV;3;;IV;;;I;;;;
cf;Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:;4;a;4;4;;;;;I;;;;
cf;"I - independência nacional;";2;i;I;4;;I;;;I;;;;
cf;"II - prevalência dos direitos humanos;";2;i;II;4;;II;;;I;;;;
cf;"III - autodeterminação dos povos;";2;i;III;4;;III;;;I;;;;
cf;"IV - não-intervenção;";2;i;IV;4;;IV;;;I;;;;
cf;"V - igualdade entre os Estados;";2;i;V;4;;V;;;I;;;;
cf;"VI - defesa da paz;";2;i;VI;4;;VI;;;I;;;;
cf;"VII - solução pacífica dos conflitos;";2;i;VII;4;;VII;;;I;;;;
cf;"VIII - repúdio ao terrorismo e ao racismo;";2;i;VIII;4;;VIII;;;I;;;;
cf;"IX - cooperação entre os povos para o progresso da humanidade;";2;i;IX;4;;IX;;;I;;;;
cf;X - concessão de asilo político.;2;i;X;4;;X;;;I;;;;
cf;Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.;3;pu;pu;4;;;;;I;;;;
cf;TÍTULO II: Dos Direitos e Garantias Fundamentais;8;t;II;;;;;;II;;;;
cf;CAPÍTULO I: DOS DIREITOS E DEVERES INDIVIDUAIS E COLETIVOS;7;c;I;;;;;;II;I;;;
cf;Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:;4;a;5;5;;;;;II;I;;;
cf;"I - homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;";2;i;I;5;;I;;;II;I;;;
cf;"II - ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;";2;i;II;5;;II;;;II;I;;;
cf;"III - ninguém será submetido a tortura nem a tratamento desumano ou degradante;";2;i;III;5;;III;;;II;I;;;
cf;"IV - é livre a manifestação do pensamento, sendo vedado o anonimato;";2;i;IV;5;;IV;;;II;I;;;
cf;"V - é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;";2;i;V;5;;V;;;II;I;;;
cf;"VI - é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;";2;i;VI;5;;VI;;;II;I;;;
cf;"VII - é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;";2;i;VII;5;;VII;;;II;I;;;
cf;"VIII - ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;";2;i;VIII;5;;VIII;;;II;I;;;
cf;"IX - é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;";2;i;IX;5;;IX;;;II;I;;;
cf;"X - são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;";2;i;X;5;;X;;;II;I;;;
cf;"XI - a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;   (Vide Lei nº 13.105, de 2015) (Vigência)";2;i;XI;5;;XI;;;II;I;;;
cf;"XII - é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;  (Vide Lei nº 9.296, de 1996)";2;i;XII;5;;XII;;;II;I;;;
cf;"XIII - é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;";2;i;XIII;5;;XIII;;;II;I;;;
cf;"XIV - é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;";2;i;XIV;5;;XIV;;;II;I;;;
cf;"XV - é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;";2;i;XV;5;;XV;;;II;I;;;
cf;"XVI - todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;";2;i;XVI;5;;XVI;;;II;I;;;
cf;"XVII - é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;";2;i;XVII;5;;XVII;;;II;I;;;
cf;"XVIII - a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;";2;i;XVIII;5;;XVIII;;;II;I;;;
cf;"XIX - as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;";2;i;XIX;5;;XIX;;;II;I;;;
cf;"XX - ninguém poderá ser compelido a associar-se ou a permanecer associado;";2;i;XX;5;;XX;;;II;I;;;
cf;"XXI - as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;";2;i;XXI;5;;XXI;;;II;I;;;
cf;"XXII - é garantido o direito de propriedade;";2;i;XXII;5;;XXII;;;II;I;;;
